licensee,service,link_mode,band,assignment_count,min_frequency_mhz,max_frequency_mhz
WELLINGTON WATER LIMITED,Fixed Link,Bi-directional,SHF (3-30 GHz),56,7747.7,22722.0
WATERCARE SERVICES LTD,Fixed Link,Bi-directional,SHF (3-30 GHz),54,10511.0,23331.0
KIWIWIFI LIMITED,Fixed Link,Bi-directional,SHF (3-30 GHz),52,10735.0,19590.0
NZME RADIO LIMITED,Broadcasting,Unspecified,MF (300 kHz-3 MHz),52,0.549,1.593
RADIO SYSTEMS LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),52,453.3063,489.9813
Shane WILSON,Land Mobile,Simplex,UHF (300 MHz-3 GHz),52,449.9563,489.9563
ASHLEY COMMUNICATIONS LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),51,453.4063,489.3188
FONTERRA CO-OPERATIVE GROUP LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),51,453.3313,489.9313
ASHLEY COMMUNICATIONS LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),50,450.5313,473.9063
ASHLEY COMMUNICATIONS LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),50,455.5688,479.8938
BUPA CARE SERVICES NZ LIMITED,Paging,Unspecified,VHF (30-300 MHz),50,160.3375,160.3375
Louise Clark,Land Mobile,Simplex,UHF (300 MHz-3 GHz),50,453.3688,489.9563
MARLBOROUGH LINES LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),49,151.0125,153.3625
MARLBOROUGH LINES LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),49,153.6188,155.9563
NZ DEFENCE FORCE HEADQUARTERS,Aeronautical,Base Station,VHF (30-300 MHz),49,118.1,135.7
C 3 LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),48,453.5438,489.9688
LIGHTWIRE LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),48,418.1375,457.925
LIGHTWIRE LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),48,410.1375,452.8875
MARITIME NEW ZEALAND,Maritime,Unspecified,HF (3-30 MHz),48,4.1264,22.1784
NELSPECS LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),48,86.1688,169.9125
NELSPECS LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),48,82.2,165.3125
POWERCO LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),48,456.7063,485.0188
ROYAL NEW ZEALAND COASTGUARD INCORPORATED,Maritime,Mobile Transmit,VHF (30-300 MHz),48,156.025,156.9
ROYAL NEW ZEALAND COASTGUARD INCORPORATED,Maritime,Repeater,VHF (30-300 MHz),48,160.625,161.5
STRATANET LIMITED,Fixed Link,Bi-directional,SHF (3-30 GHz),48,7881.125,22848.0
TAUMATA PLANTATIONS LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),48,150.1,166.6625
TĀTAKI AUCKLAND UNLIMITED LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),48,458.3688,488.7563
INSPIRE NET LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),47,415.0,457.7563
INSPIRE NET LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),47,407.0,452.7188
LYTTELTON PORT COMPANY LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),47,449.7813,482.2438
MOUNT CAMPBELL CONNECT LIMITED,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),47,420.2375,1499.0
LIGHTSPEED TECHNOLOGY GROUP LIMITED,Fixed Link,Bi-directional,SHF (3-30 GHz),46,7452.5,22694.0
NZ DEFENCE FORCE HEADQUARTERS,Maritime,Unspecified,HF (3-30 MHz),46,3.1604,25.1964
ULTIMATE MOBILE LIMITED,Spectrum Licence,Unspecified,SHF (3-30 GHz),46,3310.0,3330.0
EVERY PERSON,General User Licence,Unspecified,SHF (3-30 GHz),45,3000.0,29750.0
NEW ZEALAND ALUMINIUM SMELTERS LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),45,449.7875,488.925
NZ DEFENCE FORCE HEADQUARTERS,Land Mobile,Simplex,VHF (30-300 MHz),45,32.5,297.5
NZME RADIO LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),45,157.6,169.6
SUMMIT RADIO SOLUTIONS LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),45,165.725,172.975
DEPARTMENT OF CONSERVATION,Land Mobile,Mobile Transmit,VHF (30-300 MHz),44,139.45,169.4875
National Emergency Management Agency,Land Mobile,Mobile Transmit,VHF (30-300 MHz),44,138.0125,139.9
WEL NETWORKS LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),44,453.2563,493.4875
WEL NETWORKS LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),44,458.2938,487.475
WELLINGTON MOUNTAIN RADIO SERVICE INCORPORATED,Land Mobile,Simplex,HF (3-30 MHz),44,3.0244,5.6814
NZ DEFENCE FORCE HEADQUARTERS,Fixed Link,Uni-directional,MF (300 kHz-3 MHz),43,1.7964,2.8384
RADIO SYSTEMS LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),43,150.2,172.9875
CANTERBURY COMMUNICATIONS LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),42,410.3125,474.2063
CANTERBURY COMMUNICATIONS LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),42,418.3125,480.1938
HELICOPTERS OTAGO LTD,Land Mobile,Repeater,VHF (30-300 MHz),42,165.2125,165.2125
PORT OF TAURANGA LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),42,466.9938,489.9
POWERCO LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),42,451.6688,491.0313
SIGNALS NZ 2025 LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),42,453.3438,489.9563
WEL NETWORKS LIMITED,Fixed Link,Bi-directional,SHF (3-30 GHz),42,10574.0,22946.0
WIRELESS DYNAMICS LIMITED,Fixed Link,Bi-directional,SHF (3-30 GHz),42,7762.525,23296.0
Digicom Wireless PTY LTD,Land Mobile,Simplex,UHF (300 MHz-3 GHz),41,449.9938,477.9813
WESTPOWER LTD,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),41,420.0125,1522.125
Joey Vaessen,Land Mobile,Simplex,UHF (300 MHz-3 GHz),40,453.3188,482.6563
KORDIA LIMITED,Broadcasting,Unspecified,UHF (300 MHz-3 GHz),40,514.0,602.0
MILLS CHAPMAN COMMUNICATIONS LTD,Land Mobile,Simplex,UHF (300 MHz-3 GHz),40,453.3063,489.0563
MOBICOMM LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),40,150.1,170.8625
MURRAY TREGONNING & ASSOCIATES NZ LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),40,72.1,72.5
NORTHPOWER LIMITED,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),40,443.075,1516.0
PARK ROAD POST PRODUCTION LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),40,470.7563,489.9313
UBER GROUP LIMITED,Spectrum Licence,Unspecified,UHF (300 MHz-3 GHz),40,2590.0,2610.0
BRIGHT SPARK PRODUCTIONS LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),39,484.7063,484.7063
CHRISTCHURCH CITY COUNCIL,Land Mobile,Repeater,UHF (300 MHz-3 GHz),39,455.3563,485.875
CHRISTCHURCH CITY COUNCIL,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),39,450.3188,491.8875
Fire and Emergency New Zealand,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),39,469.4438,497.1938
CONNECTIVITY INFRASTRUCTURE SERVICES LIMITED,Fixed Link,Bi-directional,SHF (3-30 GHz),38,7762.525,22848.0
ENHANCED SOLUTIONS LIMITED,Spectrum Licence,Unspecified,UHF (300 MHz-3 GHz),38,2590.0,2610.0
FULTON HOGAN LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),38,449.9313,489.9313
WIFICONNECT LIMITED,Fixed Link,Bi-directional,SHF (3-30 GHz),38,7452.5,19590.0
CANTERBURY COMMUNICATIONS LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),37,167.1875,169.9125
CANTERBURY COMMUNICATIONS LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),37,162.5875,165.3125
CARTER HOLT HARVEY PULP & PAPER - KINLEITH MILL,Land Mobile,Simplex,UHF (300 MHz-3 GHz),37,453.4063,489.8938
KIWIRAIL,Land Mobile,Mobile Transmit,VHF (30-300 MHz),37,153.6313,158.1813
KMART NZ HOLDINGS LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),37,458.4313,466.9813
MARLBOROUGH LINES LIMITED,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),37,443.125,1511.0
NZ DEFENCE FORCE HEADQUARTERS,Land Mobile,Simplex,UHF (300 MHz-3 GHz),37,302.5,868.1125
ULTIMATE MOBILE LIMITED,Spectrum Licence,Unspecified,UHF (300 MHz-3 GHz),37,2590.0,2610.0
GPS CONTROL SYSTEMS LIMITED,Fixed Link,Uni-directional,VHF (30-300 MHz),36,162.325,167.0
KORDIA LIMITED,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),36,421.2375,459.2313
TELEVISION NEW ZEALAND LIMITED,Satellite & Space,Unspecified,SHF (3-30 GHz),36,3820.0,14468.1
WAITAKI DISTRICT COUNCIL,Land Mobile,Repeater,UHF (300 MHz-3 GHz),36,456.9688,464.2813
