licensee,service,link_mode,band,assignment_count,min_frequency_mhz,max_frequency_mhz
LYSAGHT CONSULTANTS LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),1,464.7188,464.7188
LYSAGHT CONSULTANTS LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),1,469.9063,469.9063
LYTTELTON PORT COMPANY LIMITED,Fixed Link,Uni-directional,UHF (300 MHz-3 GHz),1,450.1875,450.1875
Les Campbell,Land Mobile,Simplex,UHF (300 MHz-3 GHz),1,483.6438,483.6438
Linda Tatare,Land Mobile,Repeater,VHF (30-300 MHz),1,164.975,164.975
Linda Tatare,Land Mobile,Mobile Transmit,VHF (30-300 MHz),1,169.575,169.575
Lindsay Dodd,Land Mobile,Simplex,UHF (300 MHz-3 GHz),1,482.8563,482.8563
Lorraine Brennan,Land Mobile,Simplex,UHF (300 MHz-3 GHz),1,489.9313,489.9313
Luke Manson,Land Mobile,Simplex,UHF (300 MHz-3 GHz),1,476.3563,476.3563
M & C CRANSTONE LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),1,164.8625,164.8625
M & C CRANSTONE LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),1,169.4625,169.4625
M & O PACIFIC LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),1,482.7188,482.7188
M A KENNARD,Amateur,Beacon,VHF (30-300 MHz),1,50.024,50.024
M A KENNARD,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),1,477.225,477.225
M A KENNARD,Land Mobile,Repeater,UHF (300 MHz-3 GHz),1,476.475,476.475
M B LANGLEY,Land Mobile,Simplex,MF (300 kHz-3 MHz),1,2.3194,2.3194
M BELL,Land Mobile,Simplex,UHF (300 MHz-3 GHz),1,466.9188,466.9188
M BUSHELL,Land Mobile,Simplex,UHF (300 MHz-3 GHz),1,461.7063,461.7063
M E JUKES & SON LTD,Land Mobile,Simplex,VHF (30-300 MHz),1,150.975,150.975
M G GIBSON & CO. LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),1,169.925,169.925
M G GIBSON & CO. LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),1,165.325,165.325
M P CONTRACTING LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),1,150.8,150.8
M R HOLLAND,Land Mobile,Repeater,VHF (30-300 MHz),1,153.2625,153.2625
M R HOLLAND,Land Mobile,Mobile Transmit,VHF (30-300 MHz),1,155.0438,155.0438
M S BARNES,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),1,477.2,477.2
M S BARNES,Land Mobile,Repeater,UHF (300 MHz-3 GHz),1,476.45,476.45
M S MOORE CONTRACTING LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),1,150.7125,150.7125
MABEY CONTRACTING LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),1,153.5938,153.5938
MACHONE ENGINEERING LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),1,489.8438,489.8438
MACKENZIE DISTRICT COUNCIL,Broadcasting,Unspecified,VHF (30-300 MHz),1,93.4,93.4
MACKERSY NORTHLANDS LIMITED PARTNERSHIP,Land Mobile,Repeater,UHF (300 MHz-3 GHz),1,457.6438,457.6438
MACKERSY NORTHLANDS LIMITED PARTNERSHIP,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),1,452.6063,452.6063
MAD BUTCHER HOLDINGS LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),1,470.8063,470.8063
MADSTAR TRUCKING LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),1,166.0625,166.0625
MAHIA SMCRA,Maritime,Mobile Transmit,VHF (30-300 MHz),1,156.175,156.175
MAHIA SMCRA,Maritime,Repeater,VHF (30-300 MHz),1,160.775,160.775
MAHONY TRANSPORT LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),1,150.375,150.375
MAHURANGI LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),1,167.375,167.375
MAHURANGI LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),1,162.775,162.775
MAHUTA LOGGING LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),1,171.9125,171.9125
MAHY CRANE HIRE 2008 LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),1,150.55,150.55
MAINLAND VECTOR CONTRACTING LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),1,170.35,170.35
MAKERIKERI SILVICULTURE 2020 LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),1,150.8375,150.8375
MAN O'WAR VINEYARDS LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),1,167.7375,167.7375
MAN O'WAR VINEYARDS LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),1,163.1375,163.1375
MANA LOGGING LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),1,150.325,150.325
MANAWA ENERGY GENERATION LIMITED,Fixed Link,Uni-directional,UHF (300 MHz-3 GHz),1,453.7063,453.7063
MANAWA ENERGY GENERATION LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),1,165.75,165.75
MANAWA ENERGY GENERATION LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),1,453.2813,453.2813
MANAWA ENERGY GENERATION LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),1,458.3188,458.3188
MANAWATU ACCESS RADIO CHARITABLE TRUST,Broadcasting,Unspecified,MF (300 kHz-3 MHz),1,0.999,0.999
MANAWATU ACCESS RADIO CHARITABLE TRUST,Fixed Link,Uni-directional,UHF (300 MHz-3 GHz),1,843.625,843.625
MANAWATU AMATEUR RADIO SOCIETY INCORPORATED,Amateur,Mobile Transmit,Unknown,1,,
MANAWATU BEEF PACKERS LTD,Land Mobile,Repeater,UHF (300 MHz-3 GHz),1,464.7188,464.7188
MANAWATU BEEF PACKERS LTD,Land Mobile,Simplex,UHF (300 MHz-3 GHz),1,455.2063,455.2063
MANAWATU BEEF PACKERS LTD,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),1,469.9063,469.9063
MANAWATU COMMUNICATIONS LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),1,450.9188,450.9188
MANAWATU COMMUNICATIONS LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),1,455.9563,455.9563
MANAWATU HARNESS RACING CLUB INCORPORATED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),1,455.2938,455.2938
MANAWATU MARINE BOATING CLUB INC,Maritime,Repeater,VHF (30-300 MHz),1,160.625,160.625
MANAWATU MARINE BOATING CLUB INC,Maritime,Mobile Transmit,VHF (30-300 MHz),1,156.025,156.025
MANAWATU RUGBY UNION,Land Mobile,Simplex,UHF (300 MHz-3 GHz),1,464.8313,464.8313
MANAWATU-WANGANUI REGIONAL COUNCIL,Land Mobile,Simplex,VHF (30-300 MHz),1,150.1125,150.1125
"MANGAHAO JOINT VENTURE, MANGAHAO POWER STATION,",Land Mobile,Simplex,VHF (30-300 MHz),1,150.6875,150.6875
MANGAOTAKI STATION LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),1,472.0938,472.0938
MANGAOTAKI STATION LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),1,478.0813,478.0813
MANGAPOIKE LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),1,168.525,168.525
MANGAPOIKE LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),1,163.925,163.925
MANGERE LAWN CEMETERY TRUST BOARD,Land Mobile,Simplex,UHF (300 MHz-3 GHz),1,488.7438,488.7438
MANN & ASSOCIATES LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),1,170.6,170.6
MANUREWA HIGH SCHOOL,Land Mobile,Simplex,UHF (300 MHz-3 GHz),1,466.6813,466.6813
MARK MACKLE CONTRACTING LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),1,166.65,166.65
MARK PITTAR TRANSPORT LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),1,172.8875,172.8875
MARLBOROUGH AMATEUR RADIO CLUB INC,Amateur,Repeater,UHF (300 MHz-3 GHz),1,438.45,438.45
MARLBOROUGH AMATEUR RADIO CLUB INC,Amateur,Mobile Transmit,UHF (300 MHz-3 GHz),1,433.45,433.45
MARLBOROUGH CAR CLUB INC,Telemetry & Telecommand,Uni-directional,VHF (30-300 MHz),1,160.1375,160.1375
MARLBOROUGH DISTRICT COUNCIL,Land Mobile,Repeater,VHF (30-300 MHz),1,151.55,151.55
MARLBOROUGH DISTRICT COUNCIL,Land Mobile,Simplex,UHF (300 MHz-3 GHz),1,482.7063,482.7063
MARLBOROUGH DISTRICT COUNCIL,Land Mobile,Mobile Transmit,VHF (30-300 MHz),1,155.7313,155.7313
MARLBOROUGH DISTRICT COUNCIL,Maritime,Repeater,VHF (30-300 MHz),1,161.5,161.5
MARLBOROUGH DISTRICT COUNCIL,Maritime,Mobile Transmit,VHF (30-300 MHz),1,156.9,156.9
MARLBOROUGH DISTRICT COUNCIL,Paging,Unspecified,VHF (30-300 MHz),1,160.5375,160.5375
MARLBOROUGH HELICOPTERS LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),1,150.2625,150.2625
MARPHONA FARMS LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),1,458.6313,458.6313
MARPHONA FARMS LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),1,464.8063,464.8063
MARPHONA FARMS LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),1,469.9938,469.9938
MARSDEN PARK LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),1,464.1813,464.1813
MARSDEN PARK LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),1,469.3688,469.3688
MARSDEN TRANSPORT SOLUTIONS LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),1,150.7875,150.7875
MARTON BRANCH NZART,Amateur,Repeater,VHF (30-300 MHz),1,146.775,146.775
MARTON BRANCH NZART,Amateur,Mobile Transmit,UHF (300 MHz-3 GHz),1,433.65,433.65
MARTON BRANCH NZART,Amateur,Repeater,UHF (300 MHz-3 GHz),1,438.65,438.65
MARTON BRANCH NZART,Amateur,Mobile Transmit,VHF (30-300 MHz),1,146.175,146.175
MASSEY UNIVERSITY,Land Mobile,Simplex,UHF (300 MHz-3 GHz),1,453.3938,453.3938
MASSEY UNIVERSITY,Land Mobile,Simplex,VHF (30-300 MHz),1,150.5875,150.5875
MASSEY UNIVERSITY SCHOOL OF AVIATION,Aeronautical,Base Station,VHF (30-300 MHz),1,133.3,133.3
MASSEY UNIVERSITY STUDENTS ASSOCIATION - Radio Control,Broadcasting,Unspecified,VHF (30-300 MHz),1,99.4,99.4
MASTERTON DISTRICT COUNCIL,Broadcasting,Unspecified,VHF (30-300 MHz),1,105.9,105.9
MASTERTON DISTRICT COUNCIL,Land Mobile,Simplex,VHF (30-300 MHz),1,148.0875,148.0875
MATATAHI LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),1,455.3813,455.3813
MATATAHI LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),1,450.3438,450.3438
MATTHEWS NURSERIES LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),1,150.925,150.925
MAUGERS CONTRACTING LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),1,153.4938,153.4938
MAUNGATAPERE WATER COMPANY LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),1,165.1,165.1
MAUNGATAPERE WATER COMPANY LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),1,169.7,169.7
MAUNGATAUTARI ECOLOGICAL ISLAND TRUST,Land Mobile,Simplex,UHF (300 MHz-3 GHz),1,483.9688,483.9688
MAUNGATUA CONTRACTING (WANAKA) LTD,Land Mobile,Simplex,UHF (300 MHz-3 GHz),1,453.5438,453.5438
MAUNGAWARU LOGGING LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),1,150.825,150.825
MCALPINES ENGINEERING LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),1,483.2063,483.2063
MCCAFFERTY METAL CARTAGE LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),1,166.7125,166.7125
MCCAIN FOODS (NZ) LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),1,451.7063,451.7063
MCCAIN FOODS (NZ) LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),1,456.7438,456.7438
MCCAIN FOODS NZ LTD,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),1,467.2563,467.2563
MCCAIN FOODS NZ LTD,Land Mobile,Repeater,UHF (300 MHz-3 GHz),1,462.0688,462.0688
MCCALLUM BROS LTD,Land Mobile,Simplex,UHF (300 MHz-3 GHz),1,476.3938,476.3938
MCCALLUM HARVESTING LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),1,150.425,150.425
MCCARTHY TRANSPORT  LTD,Land Mobile,Mobile Transmit,VHF (30-300 MHz),1,154.3813,154.3813
MCCARTHY TRANSPORT  LTD,Land Mobile,Repeater,VHF (30-300 MHz),1,152.6,152.6
MCCREADY ENGINEERING LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),1,150.4375,150.4375
MCDERMOTT CONTRACTING LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),1,166.0,166.0
MCDONALD DOWNS LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),1,151.3375,151.3375
MCDONALD DOWNS LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),1,155.5188,155.5188
MCENTEE DRILLING LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),1,453.4188,453.4188
MCFALL FUEL LTD,Land Mobile,Simplex,VHF (30-300 MHz),1,153.5563,153.5563
MCINTYRE CONSTRUCTION LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),1,155.5313,155.5313
MCINTYRE CONSTRUCTION LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),1,151.35,151.35
MCNEIL FARMING LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),1,164.3625,164.3625
MCNEIL FARMING LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),1,168.9625,168.9625
MCNEILLY HEAVY HAULAGE LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),1,449.9688,449.9688
MCROBBIE CONTRACTING LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),1,458.6313,458.6313
MECHANISED CABLE HARVESTING 2025 LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),1,476.3813,476.3813
MEDIA BAY OF PLENTY LIMITED,Broadcasting,Unspecified,MF (300 kHz-3 MHz),1,1.242,1.242
MEDIAWORKS RADIO LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),1,465.4625,465.4625
MEDIAWORKS RADIO LIMITED,Satellite & Space,Unspecified,Unknown,1,,
MELROSE LAND COMPANY LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),1,168.225,168.225
MELROSE LAND COMPANY LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),1,163.625,163.625
MENDIP HILLS STATION LTD,Land Mobile,Repeater,VHF (30-300 MHz),1,162.8,162.8
MENDIP HILLS STATION LTD,Land Mobile,Simplex,VHF (30-300 MHz),1,150.9625,150.9625
MENDIP HILLS STATION LTD,Land Mobile,Mobile Transmit,VHF (30-300 MHz),1,167.4,167.4
MENZIES AVIATION GROUP (NEW ZEALAND) LTD,Aeronautical,Base Station,VHF (30-300 MHz),1,133.95,133.95
MERCURY BAY AERO CLUB INCORPORATED,Aeronautical,Base Station,VHF (30-300 MHz),1,130.5,130.5
MERCURY BAY BRANCH 85 NZART,Amateur,Repeater,VHF (30-300 MHz),1,147.075,147.075
MERCURY BAY BRANCH 85 NZART,Amateur,Mobile Transmit,VHF (30-300 MHz),1,147.675,147.675
MERCURY BAY GAME FISHING CLUB INCORPORATED,Maritime,Mobile Transmit,VHF (30-300 MHz),1,156.275,156.275
MERCURY BAY GAME FISHING CLUB INCORPORATED,Maritime,Repeater,VHF (30-300 MHz),1,160.875,160.875
METHANEX NEW ZEALAND LTD,Land Mobile,Simplex,UHF (300 MHz-3 GHz),1,461.7813,461.7813
METHVEN ADVENTURES LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),1,477.6313,477.6313
METHVEN HARVESTING LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),1,166.0,166.0
METLIFECARE PALMERSTON NORTH LIMITED,Paging,Unspecified,VHF (30-300 MHz),1,160.4625,160.4625
METRO CAPITAL HOLDINGS LIMITED,Broadcasting,Unspecified,VHF (30-300 MHz),1,99.4,99.4
METRO CAPITAL HOLDINGS LIMITED,Broadcasting,Unspecified,MF (300 kHz-3 MHz),1,0.936,0.936
MH HEAVY HAULAGE LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),1,150.95,150.95
MID CANTERBURY AERO CLUB INC,Aeronautical,Base Station,VHF (30-300 MHz),1,119.1,119.1
MID WEST HELICOPTERS (NZ) LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),1,166.65,166.65
MIDDLETON GRANGE SCHOOL,Fixed Link,Uni-directional,UHF (300 MHz-3 GHz),1,928.75,928.75
MIDWEST DISPOSALS LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),1,169.275,169.275
MIDWEST DISPOSALS LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),1,164.675,164.675
MIKE MATHER,Amateur,Mobile Transmit,UHF (300 MHz-3 GHz),1,434.5,434.5
MIKE MATHER,Amateur,Repeater,VHF (30-300 MHz),1,144.575,144.575
MIKE MATHER,Amateur,Repeater,UHF (300 MHz-3 GHz),1,439.5,439.5
MILFORD SOUND CRUISES,Land Mobile,Simplex,VHF (30-300 MHz),1,150.0875,150.0875
MILFORD SOUND TOURISM LIMITED,Broadcasting,Unspecified,VHF (30-300 MHz),1,92.0,92.0
MILFORD SOUND TOURISM LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),1,150.0625,150.0625
MILFORD SOUND TOURISM LIMITED,Maritime,Unspecified,VHF (30-300 MHz),1,161.55,161.55
MILLERS FLAT WATER COMPANY LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),1,449.9438,449.9438
MINARET STATION LTD,Land Mobile,Simplex,VHF (30-300 MHz),1,166.3125,166.3125
MINING EQUIPMENT SUPPLIES LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),1,150.425,150.425
MINISTRY OF JUSTICE - COURT SECURITY,Paging,Unspecified,UHF (300 MHz-3 GHz),1,458.55,458.55
MIRACLE ELECTRONICS LTD,Paging,Unspecified,VHF (30-300 MHz),1,160.4875,160.4875
MJ & TB SIMPSON LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),1,464.0563,464.0563
MJ & TB SIMPSON LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),1,469.2438,469.2438
MOANA ORCHARDS LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),1,477.325,477.325
MOANA ORCHARDS LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),1,476.575,476.575
MOANAROA FARMING COMPANY LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),1,163.55,163.55
MOANAROA FARMING COMPANY LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),1,168.15,168.15
MOBIL OIL (NZ) LTD,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),1,450.9563,450.9563
MOBIL OIL (NZ) LTD,Land Mobile,Repeater,UHF (300 MHz-3 GHz),1,455.9938,455.9938
MOBIL OIL NEW ZEALAND LIMITED,Aeronautical,Base Station,VHF (30-300 MHz),1,133.0,133.0
MOBILE SYSTEMS LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),1,476.475,476.475
MOBILE SYSTEMS LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),1,477.225,477.225
MOFFATT CONTRACTING LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),1,466.6813,466.6813
MOHAKA RIVER FARM LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),1,150.575,150.575
MOIR LOGGING COMPANY LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),1,150.5125,150.5125
MONTANA CATERING 2001 LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),1,453.4813,453.4813
MOORE'S VALLEY PILERS AND MOVERS LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),1,465.0063,465.0063
MORGAN SPREADING LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),1,455.0688,455.0688
MORRINSVILLE DISTRICT RETURNED SERVICES ASSN INC,Land Mobile,Simplex,VHF (30-300 MHz),1,84.05,84.05
MORRIS & BAILEY LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),1,489.3188,489.3188
MOTORSPORT BAY OF PLENTY INCORPORATED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),1,167.8125,167.8125
MOTORSPORT BAY OF PLENTY INCORPORATED,Land Mobile,Repeater,VHF (30-300 MHz),1,163.2125,163.2125
MOTUEKA BRANCH OF THE NEW ZEALAND ASSOCIATION OF RADIO TRANSMITTERS INCORPORATED,Amateur,Repeater,UHF (300 MHz-3 GHz),1,439.6875,439.6875
MOTUEKA BRANCH OF THE NEW ZEALAND ASSOCIATION OF RADIO TRANSMITTERS INCORPORATED,Amateur,Mobile Transmit,Unknown,1,,
MOTUTAPU OUTDOOR EDUCATION TRUST,Land Mobile,Mobile Transmit,VHF (30-300 MHz),1,167.95,167.95
MOTUTAPU OUTDOOR EDUCATION TRUST,Land Mobile,Repeater,VHF (30-300 MHz),1,163.35,163.35
MOUNT CAMPBELL COMMUNICATIONS LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),1,168.1625,168.1625
MOUNT CAMPBELL CONNECT LIMITED,Maritime,Mobile Transmit,VHF (30-300 MHz),1,156.15,156.15
MOUNT CAMPBELL CONNECT LIMITED,Maritime,Repeater,VHF (30-300 MHz),1,160.75,160.75
MOUNT GREY DOWNS LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),1,150.8,150.8
MOUNT GREY DOWNS LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),1,482.0813,482.0813
MOUNT LINTON STATION LTD,Land Mobile,Simplex,VHF (30-300 MHz),1,150.125,150.125
MS CIVIL CONSTRUCTION LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),1,449.9688,449.9688
MT  MAUNGANUI GOLF CLUB INC,Land Mobile,Simplex,UHF (300 MHz-3 GHz),1,455.1563,455.1563
MT ALGIDUS LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),1,164.475,164.475
MT ALGIDUS LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),1,169.075,169.075
MT CHEESEMAN SKI CLUB INC,Land Mobile,Repeater,UHF (300 MHz-3 GHz),1,461.9938,461.9938
MT CHEESEMAN SKI CLUB INC,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),1,467.1813,467.1813
MT ERIN LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),1,470.7688,470.7688
MT NICHOLAS STATION,Land Mobile,Repeater,VHF (30-300 MHz),1,151.35,151.35
MT NICHOLAS STATION,Land Mobile,Mobile Transmit,VHF (30-300 MHz),1,155.5313,155.5313
MT. GERALD STATION LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),1,151.225,151.225
MT. GERALD STATION LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),1,155.4063,155.4063
MT. GERALD STATION LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),1,153.4813,153.4813
MUDFORD FARMS LTD,Land Mobile,Simplex,VHF (30-300 MHz),1,166.4,166.4
MULLER STATION LTD,Land Mobile,Mobile Transmit,VHF (30-300 MHz),1,153.9563,153.9563
MULLER STATION LTD,Land Mobile,Repeater,VHF (30-300 MHz),1,152.175,152.175
MURDOCH MANUFACTURING LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),1,453.6188,453.6188
MUSEUM OF TRANSPORT AND TECHNOLOGY,Land Mobile,Simplex,UHF (300 MHz-3 GHz),1,477.9813,477.9813
MUSEUM OF TRANSPORT AND TECHNOLOGY,Land Mobile,Simplex,VHF (30-300 MHz),1,166.2375,166.2375
MUSICK POINT RADIO GROUP INCORPORATED,Amateur,Mobile Transmit,VHF (30-300 MHz),1,145.175,145.175
MUSICK POINT RADIO GROUP INCORPORATED,Amateur,Repeater,VHF (30-300 MHz),1,145.775,145.775
MUSICK POINT RADIO GROUP INCORPORATED,Amateur,Mobile Transmit,UHF (300 MHz-3 GHz),1,434.575,434.575
MUSSON LOGISTICS LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),1,153.5188,153.5188
MW LISSETTE LTD,Land Mobile,Simplex,VHF (30-300 MHz),1,150.1375,150.1375
Manawatu Orion Motorcycle Club Incorporated,Land Mobile,Simplex,UHF (300 MHz-3 GHz),1,461.5438,461.5438
Manfeild Park Trust,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),1,450.2938,450.2938
Manfeild Park Trust,Land Mobile,Repeater,UHF (300 MHz-3 GHz),1,455.3313,455.3313
Marcus Stewart,Land Mobile,Simplex,UHF (300 MHz-3 GHz),1,466.9813,466.9813
Mark Neville,Land Mobile,Simplex,UHF (300 MHz-3 GHz),1,477.6438,477.6438
Mark Pitcher,Land Mobile,Simplex,UHF (300 MHz-3 GHz),1,482.8438,482.8438
Mark Sinclair,Land Mobile,Simplex,VHF (30-300 MHz),1,170.8,170.8
Matt Henney,Land Mobile,Simplex,UHF (300 MHz-3 GHz),1,477.5688,477.5688
Matthew Huxtable,Land Mobile,Simplex,VHF (30-300 MHz),1,165.725,165.725
Matthew Swann,Land Mobile,Repeater,VHF (30-300 MHz),1,162.7625,162.7625
Matthew Swann,Land Mobile,Mobile Transmit,VHF (30-300 MHz),1,167.3625,167.3625
Michael  Selak,Land Mobile,Simplex,UHF (300 MHz-3 GHz),1,455.3063,455.3063
Michael Craig Turney,Land Mobile,Simplex,UHF (300 MHz-3 GHz),1,470.7563,470.7563
Michael John Austin,Land Mobile,Simplex,UHF (300 MHz-3 GHz),1,476.3938,476.3938
Michael John Barker,Land Mobile,Repeater,VHF (30-300 MHz),1,151.15,151.15
Michael John Barker,Land Mobile,Mobile Transmit,VHF (30-300 MHz),1,155.3313,155.3313
Michael Murray,Land Mobile,Simplex,UHF (300 MHz-3 GHz),1,461.4813,461.4813
Michelle Hill,Land Mobile,Simplex,VHF (30-300 MHz),1,166.0375,166.0375
MidCentral District Health Board,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),1,469.4938,469.4938
MidCentral District Health Board,Land Mobile,Simplex,UHF (300 MHz-3 GHz),1,466.9188,466.9188
MidCentral District Health Board,Land Mobile,Repeater,UHF (300 MHz-3 GHz),1,464.3063,464.3063
Mike Oldham,Land Mobile,Simplex,UHF (300 MHz-3 GHz),1,482.5188,482.5188
Ministry for Primary Industries,Land Mobile,Repeater,UHF (300 MHz-3 GHz),1,455.3688,455.3688
Ministry for Primary Industries,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),1,450.3313,450.3313
"Ministry of Business, Innovation, and Employment (RSM)",Radiodetermination,Unspecified,UHF (300 MHz-3 GHz),1,405.9625,405.9625
Morikaunui Incorporation,Land Mobile,Repeater,VHF (30-300 MHz),1,164.7375,164.7375
Morikaunui Incorporation,Land Mobile,Mobile Transmit,VHF (30-300 MHz),1,169.3375,169.3375
