location,lat,lon,assignment_count,licensees,service
DARGAVILLE (VFNZ),-35.95868,173.86314,16,3,Fixed Link
PENINSULA HILL (VF S5FKT FRANKTON/QUEENSTOWN),-45.04057,168.72367,16,2,Fixed Link
ALEXANDRA PARK,-36.89073,174.77525,16,2,Spectrum Licence
CLAUDELANDS EVENT CENTRE,-37.77974,175.28954,16,4,Land Mobile
Cromwell Starlink XL Array centre,-45.06106,169.19276,16,1,Satellite & Space
TARANAKI SOUTH BIGHT - FPSO RAROA,-39.97233,173.29377,16,1,Land Mobile
WAIKIWI,-46.38629,168.34874,16,2,Spectrum Licence
MOTUEKA,-41.117,172.96305,16,4,Spectrum Licence
GATEWAY TELEPORT TRENTHAM,-41.13973,175.053,16,1,Satellite & Space
WHANGAROA,-35.03445,173.69147,16,4,Spectrum Licence
RUSSELL,-35.2615,174.13188,16,6,Spectrum Licence
MT STUART,-46.07722,169.77044,16,7,Broadcasting
Te Hana Starlink Array #1,-36.23675,174.51217,16,1,Satellite & Space
MAKAHIWI,-38.99626,175.20507,16,2,Fixed Link
TE ANAU,-45.41993,167.74281,15,4,Spectrum Licence
PLEASANT POINT,-44.2174,171.12128,15,3,Spectrum Licence
MT ALFORD (ASHLEY),-43.5893,171.483,15,3,Land Mobile
PUKEHOU,-40.74264,175.18904,15,3,Land Mobile
MATANGIA,-37.38951,175.91279,15,3,Land Mobile
PYE PEAK,-41.03659,172.85583,15,4,Fixed Link
OTEMATATA,-44.61344,170.16823,15,5,Broadcasting
CHRISTCHURCH AIRPORT CAR PARK BUILDING,-43.48933,172.54019,15,1,Land Mobile
WHAKAPAPATARINGA,-38.52034,176.15545,15,2,Fixed Link
HAWKES BAY AREA,-39.57498,176.7884,15,5,Land Mobile
AVALON,-41.19177,174.93558,15,2,Spectrum Licence
THAMES,-37.13793,175.54238,15,2,Spectrum Licence
TAURANGA EXCHANGE,-37.69944,176.15915,15,3,Spectrum Licence
MEREMERE,-37.46947,175.52998,15,4,Spectrum Licence
FEATHERSTON,-41.10764,175.31654,15,3,Spectrum Licence
PUKERUA BAY (KIWIRAIL),-41.03898,174.87944,15,1,Land Mobile
LEPPERTON,-39.07194,174.21265,15,2,Land Mobile
READS QUAY (EVOLUTION WIRELESS),-38.66763,178.02836,15,1,Fixed Link
MAKETU RESERVOIR,-37.76287,176.46698,15,4,Land Mobile
KAWHIA HARBOUR,-38.04054,174.88371,15,4,Fixed Link
CLIVE,-39.59966,176.90899,15,3,Spectrum Licence
KAIPARA HILLS RD,-36.46036,174.49744,15,4,Fixed Link
WAIMATAITAI,-44.38351,171.23815,15,2,Spectrum Licence
TWIZEL,-44.26221,170.09064,15,5,Spectrum Licence
HAMILTON CENTRAL,-37.78625,175.28023,15,3,Spectrum Licence
RUAPEKAPEKA,-35.45675,174.14302,15,2,Land Mobile
STATION PEAK ,-44.75252,170.56871,15,1,Fixed Link
CAPE WANBROW RESERVOIR,-45.11449,170.97375,15,4,Fixed Link
GLENBROOK,-37.20019,174.73441,15,3,Spectrum Licence
TOKATEA (POWERCO),-36.72568,175.51984,15,2,Land Mobile
TE WAKA,-39.22934,176.65729,15,3,Fixed Link
MT CLIMIE (WRC),-41.14985,175.1437,15,4,Land Mobile
TAHUNANUI,-41.29115,173.24039,15,3,Spectrum Licence
WAIKATO STADIUM,-37.78089,175.26807,15,6,Land Mobile
HAHEI,-36.83893,175.79321,15,4,Spectrum Licence
POROOTARAO,-38.55388,175.32811,15,3,Land Mobile
PUKETUTU,-37.00501,174.79961,15,5,Fixed Link
TOLAGA BAY,-38.37584,178.30223,15,6,Spectrum Licence
BETWEEN 1635 AND 1713 STATE HIGHWAY 1 KAIWAKA (VF N2KWA KAIWAKA),-36.18852,174.44325,15,2,Fixed Link
AWAMATE,-38.99397,177.36754,15,4,Fixed Link
KINLOCH,-41.56613,172.3942,15,5,Spectrum Licence
HINAHINA HILL,-46.50924,169.62557,15,7,Fixed Link
TAKAKA HILL (NZART),-41.02261,172.86118,15,6,Land Mobile
TIMARU EXCHANGE,-44.39696,171.25188,15,5,Land Mobile
HURUIKI,-35.443,174.31807,15,3,Fixed Link
BAXTERS KNOB,-41.12694,174.8619,15,7,Land Mobile
KILBIRNIE,-41.31961,174.79599,14,2,Spectrum Licence
BROMLEY,-43.53521,172.69634,14,2,Spectrum Licence
TE AWAMUTU,-38.0093,175.32368,14,4,Spectrum Licence
ONEMANA,-37.15699,175.87818,14,4,Spectrum Licence
KAWERAU,-38.07193,176.71606,14,4,Spectrum Licence
TERRACE END,-40.34181,175.63754,14,2,Spectrum Licence
BALLANCE SSR,-40.40059,175.73251,14,3,Aeronautical
UTIKU (KIWIRAIL),-39.72427,175.88075,14,2,Land Mobile
QUEENSTOWN,-45.03066,168.65777,14,7,Spectrum Licence
RICHMOND HILL TRIG A6VV,-41.3671,173.1976,14,4,Land Mobile
KUMEU,-36.76697,174.55238,14,4,Spectrum Licence
HILL END,-44.73065,169.11635,14,2,Fixed Link
MILSON,-40.33321,175.6183,14,2,Spectrum Licence
KAITOKE,-40.7474,175.17045,14,5,Spectrum Licence
LOWER HUTT,-41.20948,174.90689,14,3,Spectrum Licence
FORSYTH BARR STADIUM DUNEDIN,-45.86955,170.52347,14,3,Land Mobile
PAEROA,-37.55847,175.77467,14,7,Spectrum Licence
OBELISK KORDIA,-45.3219,169.20703,14,1,Fixed Link
FAVONA MINE PORTAL,-37.3922,175.86133,14,1,Land Mobile
WINDY POINT,-40.75321,173.64925,14,2,Fixed Link
REWAREWA,-38.62548,175.43275,14,1,Fixed Link
69 MOLESWORTH STREET,-41.27503,174.77736,14,1,Land Mobile
32 BIRMINGHAM DRIVE,-43.54328,172.58472,14,1,Land Mobile
PUKETE,-37.74387,175.23264,14,3,Spectrum Licence
WAIKANAE,-40.8591,175.0727,14,2,Spectrum Licence
WAINONI,-43.51568,172.69185,14,2,Spectrum Licence
WEST END,-40.36679,175.58417,14,2,Spectrum Licence
WANGANUI,-39.92901,175.04625,14,6,Spectrum Licence
POINT ENGLAND,-36.87963,174.86755,14,2,Spectrum Licence
MT HYDE,-45.79069,170.28646,14,2,Land Mobile
MATATA RAILWAY,-37.89414,176.8102,14,1,Land Mobile
HEYWARD POINT,-45.77806,170.66908,14,1,Land Mobile
CRAIGIEBURN,-43.10713,171.85716,14,1,Land Mobile
AICKENS,-42.76464,171.62796,14,1,Land Mobile
PUKETUTU (NETSMART),-37.19572,175.01852,14,3,Fixed Link
RUAOTUWHENUA SSR,-36.92423,174.55346,14,3,Fixed Link
AHIWEKA (I-NET),-40.18119,176.33839,14,4,Land Mobile
CLOVERLEA,-40.3505,175.58278,14,2,Spectrum Licence
ST HELIERS,-36.86091,174.85037,14,1,Spectrum Licence
EIGHT MILE JUNCTION,-38.40821,175.11427,14,4,Land Mobile
TAUPIRI,-38.32552,176.22864,14,5,Land Mobile
FOREST HILL,-46.22192,168.43571,14,8,Broadcasting
CROWNE PLAZA HOTEL CHRISTCHURCH (POST EARTHQUAKE SITE),-43.529,172.63698,14,1,Land Mobile
11A ROBERTS ROAD WHANGAPARAOA,-36.61916,174.77469,14,1,Maritime
HOMAI,-37.01402,174.8755,14,2,Spectrum Licence
HAMILTON (KPMG BUILDING),-37.78964,175.28291,14,8,Land Mobile
TE ATATU CENTRAL,-36.85289,174.65146,14,2,Spectrum Licence
86 LATTER HILL,-43.26105,171.96771,14,1,Land Mobile
PENROSE EAST,-36.91136,174.82425,14,2,Spectrum Licence
MONOWAI STATION (ALPINE),-44.19936,170.88299,14,2,Fixed Link
RANGIPO HRSC,-39.15352,175.83461,14,3,Land Mobile
PENDLE HILL,-42.92632,173.11342,14,3,Fixed Link
TE WERAITI (LIGHTWIRE),-37.82007,175.90666,14,1,Fixed Link
MAUNU NORTHPOWER TOWER,-35.73897,174.23097,14,2,Fixed Link
DANNEVIRKE,-40.20214,176.0865,14,3,Spectrum Licence
CROWN HILL,-36.76442,174.75734,14,2,Spectrum Licence
CARRINGTON ROAD,-39.20333,174.00134,14,8,Land Mobile
RUSSELL HEIGHTS,-35.26275,174.13469,14,3,Land Mobile
KAUKAPAKAPA,-36.61838,174.47706,14,3,Spectrum Licence
COOK STRAIT,-40.84498,173.5931,14,1,Land Mobile
HARDLEY STREET STUDIO,-37.77804,175.27615,14,1,Fixed Link
CAVALIER HOUSE,-41.5112,173.95724,14,2,Broadcasting
PARERA ROAD KAHUTARA,-41.26386,175.21656,14,1,Land Mobile
5A CRAFT PLACE,-43.54274,172.58473,14,1,Land Mobile
MANAWAHE RTUA (HORIZON ENERGY),-37.98204,176.68467,14,3,Land Mobile
TIRAU,-37.96335,175.72428,14,2,Spectrum Licence
TARANAKI BASE HOSPITAL,-39.07216,174.05532,14,4,Spectrum Licence
ROSEBANK,-45.88567,170.55913,14,1,Land Mobile
NORTH RANGE ROAD WEST,-40.3327,175.78874,14,1,Land Mobile
TUTUKAKA,-35.62006,174.51692,14,4,Spectrum Licence
RAUKUMARA,-37.76225,178.12574,14,9,Land Mobile
Rataroa (RATA) (Lightwire),-37.23725,175.30008,14,1,Fixed Link
ROYS PEAK,-44.69459,169.04895,14,5,Land Mobile
SADDLE HILL,-41.04176,173.73868,14,6,Fixed Link
INVERCARGILL STADIUM (VFNZ),-46.41724,168.36298,14,2,Land Mobile
MT EGMONT (POWERCO),-39.30585,174.1057,14,1,Land Mobile
MT VICTORIA(MM),-36.82654,174.79921,14,1,Maritime
WANGANUI EAST,-39.90562,175.06194,13,2,Spectrum Licence
OHAKEA CONTROL TOWER,-40.20046,175.37965,13,3,Aeronautical
NORTH RANGE ROAD EAST,-40.33777,175.79708,13,1,Land Mobile
WAITOHI HILL (ASHCOMS),-44.09793,171.09563,13,2,Land Mobile
MT CARGILL KORDIA,-45.81313,170.5551,13,3,Fixed Link
RUATANGATA WEST (VFNZ),-35.65375,174.19831,13,3,Fixed Link
WARKWORTH,-36.40349,174.65636,13,4,Spectrum Licence
COOPERS BEACH,-34.99126,173.50868,13,2,Maritime
ROTORUA INTERNATIONAL STADIUM,-38.15597,176.22361,13,4,Land Mobile
TRIG K WAIHOPAI,-41.61354,173.56487,13,1,Land Mobile
2ZA STUDIO,-40.35164,175.62032,13,1,Fixed Link
BEACON HILL,-41.32969,174.82876,13,2,Maritime
NEW PLYMOUTH (THE RADIO NETWORK),-39.0593,174.07379,13,1,Fixed Link
TAUMARUNUI EXCHANGE,-38.88504,175.26347,13,4,Spectrum Licence
WAITOTARA,-39.83198,174.7386,13,1,Land Mobile
POHOKURA (POWERCO),-39.16515,174.62824,13,2,Land Mobile
TE ATATU ROAD,-36.86891,174.64572,13,2,Spectrum Licence
WAIMARINO,-39.18248,175.38235,13,4,Fixed Link
WATTLE DOWNS,-37.03744,174.87619,13,2,Spectrum Licence
OREWA,-36.59426,174.69242,13,2,Spectrum Licence
MT BUTTERS (POWERCO),-40.55969,176.03656,13,1,Land Mobile
HARGREAVES ST AUCKLAND,-36.84597,174.75007,13,1,Fixed Link
ARAKIHI SOUTH,-38.37194,178.0565,13,4,Fixed Link
HEDGEHOPE KORDIA,-46.09367,168.71157,13,1,Fixed Link
BELTANA - DO NOT USE,-42.71162,173.35125,13,3,Land Mobile
MT DEWAR,-44.94166,168.68733,13,4,Land Mobile
PUKEKOHE HILL WDC,-37.2289,174.89307,13,1,Fixed Link
CD EOC 525 MACKAY ST  THAMES,-37.13762,175.54256,13,1,Land Mobile
COURTENAY PLACE,-41.2945,174.78273,13,3,Spectrum Licence
ST MARTINS,-43.55937,172.65705,13,2,Spectrum Licence
DARGAVILLE,-35.92943,173.8555,13,3,Spectrum Licence
TAUPO CENTRAL,-38.68393,176.07338,13,2,Spectrum Licence
FLAGSTAFF,-37.73759,175.25798,13,2,Spectrum Licence
POROOTARAO TUNNEL,-38.56223,175.32036,13,1,Land Mobile
OHAKUNE,-39.42917,175.39478,13,4,Spectrum Licence
NEWMARKET,-36.86866,174.77581,13,2,Spectrum Licence
KLONDYKE ROAD (NZART),-37.35554,174.80887,13,4,Amateur
PAREMOREMO PRISON,-36.75915,174.64739,13,3,Land Mobile
PORT OF TAURANGA,-37.663,176.17086,13,4,Land Mobile
FERNDALE,-38.2936,175.0894,13,2,Fixed Link
RAGLAN,-37.82523,174.85008,13,5,Spectrum Licence
BILLYS RIDGE,-45.50086,170.28443,13,1,Fixed Link
CITIBANK CENTRE,-36.84519,174.76765,13,2,Land Mobile
LYTTELTON,-43.60595,172.72435,13,4,Land Mobile
TITAHI BAY,-41.10705,174.83903,13,3,Spectrum Licence
OPAWA,-43.5558,172.67209,13,2,Spectrum Licence
GALATEA,-38.29251,176.82922,13,2,Land Mobile
MURRAYS BAY,-36.73125,174.74806,13,3,Spectrum Licence
ROCKY PEAK (ORION),-43.74209,172.87273,13,3,Fixed Link
Awarua Earth Station_Planet 4,-46.52986,168.38009,13,1,Satellite & Space
PONGA RD-SONJA RD,-37.10809,175.00241,13,3,Land Mobile
QUAILBURN,-44.41772,169.91467,13,3,Land Mobile
PAUANUI SOUTH,-37.0376,175.873,13,4,Broadcasting
