licenceId,licenceNumber,licensee,channel,frequency,location,status,txrx,suppressed
434123,426411,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM157",91.8,"WAIPUNA","Current","TX",false
434122,426489,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM449",106.4,"CAPE WANBROW","Current","TX",false
434121,426451,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM337",100.8,"CAPE WANBROW","Current","TX",false
434120,426433,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM273",97.6,"CAPE WANBROW","Current","TX",false
434119,426479,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM225",95.2,"CAPE WANBROW","Current","TX",false
434118,426440,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM097",88.8,"CAPE WANBROW","Current","TX",false
434117,426420,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM421",105.0,"HILLEND","Current","TX",false
434116,426435,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM405",104.2,"HILLEND","Current","TX",false
434115,426483,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM331",100.5,"TUAWERA TCE CHRISTCHURCH","Current","TX",false
434114,426462,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM155",91.7,"TUAWERA TCE CHRISTCHURCH","Current","TX",false
434113,426491,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM177",92.8,"RUSSELL","Current","TX",false
434112,426470,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM289",98.4,"BASTIA HILL","Current","TX",false
434111,426456,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM273",97.6,"BASTIA HILL","Current","TX",false
434110,426428,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM161",92.0,"LANDGUARD","Current","TX",false
434109,426463,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM129",90.4,"BASTIA HILL","Current","TX",false
434108,426448,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM411",104.5,"WATERWORKS ROAD","Current","TX",false
434107,426441,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM339",100.9,"WITHER HILLS (RADIOWORKS)","Current","TX",false
434106,426434,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM305",99.2,"GRAMPIANS","Current","TX",false
434105,426469,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM431",105.5,"ALEXANDRA","Current","TX",false
434104,426438,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM423",105.1,"KAIKOURA PENINSULA","Current","TX",false
434103,426421,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM407",104.3,"STEVENS HILL","Current","TX",false
434102,426465,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM323",100.1,"TAKORIKA","Current","TX",false
434101,426443,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM129",90.4,"MANGAWHAI","Current","TX",false
434100,426442,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM095",88.7,"MT ERIN","Current","TX",false
434099,426466,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM187",93.3,"TUAWERA TCE CHRISTCHURCH","Current","TX",false
434098,426450,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM123",90.1,"SOUTHSHORE","Current","TX",false
434097,426432,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM407",104.3,"32 MAWHERA QUAY (ZELAN)","Current","TX",false
434096,426426,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM437",105.8,"RURU","Current","TX",false
434095,426400,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM433",105.6,"WHAKAROA","Current","TX",false
434094,426415,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM417",104.8,"DURIE HILL","Current","TX",false
434093,426437,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM193",93.6,"1 MAXWELL AVENUE WANGANUI","Current","TX",false
434092,426425,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM145",91.2,"LANDGUARD","Current","TX",false
434091,426406,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM097",88.8,"BASTIA HILL","Current","TX",false
434090,426454,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM123",90.1,"KAUKAU","Current","TX",false
434089,426424,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM195",93.7,"WITHER HILLS RADIOWORKS (COBB RIDGE)","Current","TX",false
434088,426431,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM193",93.6,"MANGAWHAI","Current","TX",false
434087,426436,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM395",103.7,"ELECTRICITY ASHBURTON","Current","TX",false
434086,426429,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM395",103.7,"WATERWORKS ROAD","Current","TX",false
434085,426418,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM391",103.5,"MT FREETH","Current","TX",false
434084,426446,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM335",100.7,"ALEXANDRA","Current","TX",false
434083,426427,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM325",100.2,"MT MAUDE KORDIA","Current","TX",false
434082,426444,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM197",93.8,"MT MAUDE KORDIA","Current","TX",false
434081,426413,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM095",88.7,"OBELISK","Current","TX",false
434080,426407,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM449",106.4,"HIGH PEAK","Current","TX",false
434079,426416,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM399",103.9,"FOREST HEIGHTS","Current","TX",false
434078,426430,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM113",89.6,"RUSSELL2","Current","TX",false
434077,426422,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM095",88.7,"PIOPIO","Current","TX",false
434076,426399,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM447",106.3,"WAIMAMAKU","Current","TX",false
434075,426374,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM225",95.2,"GRAMPIANS","Current","TX",false
434074,426368,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM319",99.9,"REEFTON","Current","TX",false
434073,426379,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM243",96.1,"WITHER HILLS RADIOWORKS (COBB RIDGE)","Current","TX",false
434072,426397,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM413",104.6,"MT CARGILL","Current","TX",false
434071,426390,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM335",100.7,"PUKEPOTO NO.3","Current","TX",false
434070,426375,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM333",100.6,"MT CARGILL","Current","TX",false
434069,426386,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM441",106.0,"MT EGMONT","Current","TX",false
434068,426383,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM323",100.1,"SUGARLOAF","Current","TX",false
434067,426373,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM441",106.0,"HEDGEHOPE","Current","TX",false
434066,426372,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM447",106.3,"MT ERIN","Current","TX",false
434065,426352,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM443",106.1,"WHEATSTONE RD","Current","TX",false
434064,426401,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM447",106.3,"PUKEPOTO","Current","TX",false
434063,426417,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM435",105.7,"PUTAUAKI","Current","TX",false
434062,426405,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM399",103.9,"ALEXANDRA","Current","TX",false
434061,426333,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM401",104.0,"CAPE WANBROW","Current","TX",false
434060,426384,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM389",103.4,"WANAKA","Current","TX",false
434059,426391,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM391",103.5,"MT HORRIBLE","Current","TX",false
434058,426412,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM391",103.5,"PAPAROA","Current","TX",false
434057,426395,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM401",104.0,"PENINSULA HILL","Current","TX",false
434056,426404,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM403",104.1,"WITHER HILLS RADIOWORKS (COBB RIDGE)","Current","TX",false
434055,426366,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM401",104.0,"GRAMPIANS","Current","TX",false
434054,426335,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM395",103.7,"WHEATSTONE RD","Current","TX",false
434053,426354,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM391",103.5,"Awanui  Rhema Broadcasting site","Current","TX",false
434052,426345,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM403",104.1,"PUTAUAKI","Current","TX",false
434051,426365,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM427",105.3,"COLSONS HILL","Current","TX",false
434050,426353,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM393",103.6,"PAEROA RANGE","Current","TX",false
434049,426358,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM439",105.9,"GREYMOUTH","Current","TX",false
434048,426385,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM443",106.1,"ELECTRICITY ASHBURTON","Current","TX",false
434047,426336,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM207",94.3,"TAUMARUNUI KURURAU RD","Current","TX",false
